state_abbr,year,population,violent_crime,homicide,rape,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,arson,violent_crime_1000,homicide_1000,rape_1000,robbery_1000,aggravated_assault_1000,property_crime_1000,burglary_1000,larceny_1000,motor_vehicle_theft_1000,arson_1000
TN,2010,6357436,38909,359,2173,8361,28016,232855,64293,153729,14833,1164,6.120234635472539,0.056469306179409436,0.34180446330879305,1.3151528383455218,4.4068080276388155,36.627187438457895,10.113039281874014,24.180974845834076,2.3331733107498054,0.18309268075997934
TN,2011,6399787,38895,380,2095,8082,28338,230900,62830,153928,14142,1149,6.077546018328422,0.05937697613998716,0.3273546447717713,1.2628545293773057,4.427959868039358,36.07932576506062,9.81751423914577,24.052050482305113,2.2097610436097326,0.17953722522327695
TN,2012,6454914,41213,400,2047,8151,30615,217925,56231,148731,12963,1225,6.384748115931521,0.06196829268368254,0.3171227378087454,1.262758884161741,4.742898201277352,33.761100457728794,8.711347664740382,23.04151534784197,2.008237445146442,0.18977789634377779
TN,2013,6497269,38063,335,2500,7333,27895,207683,51334,144443,11906,1107,5.85830754429284,0.051560124723172146,0.3847770501729265,1.128628043567228,4.293342325829514,31.964660844425556,7.900858037430804,22.231340583251207,1.832462223743545,0.17037927781657186
TN,2014,6547779,39989,369,2595,7268,29757,200911,46798,141464,12649,1091,6.107261714239286,0.05635498693526461,0.3963175910488121,1.1099947020203338,4.544594434234876,30.683839512604195,7.147156310559656,21.604883121437055,1.9318000806074853,0.16662138413651406
TN,2015,6595056,40816,418,2801,7499,30098,196047,43753,139259,13035,935,6.188878456831906,0.06338081132290613,0.42471208735756,1.1370638854317539,4.563721672719686,29.72635865411909,6.634212052179694,21.11566603831719,1.9764805636222045,0.14177286743281634
TN,2016,6649404,42459,495,2803,7829,31332,191199,40607,135353,15239,1119,6.3853843141430415,0.07444276208815105,0.42154153966280283,1.177398756339666,4.712001256052422,28.754306400994732,6.1068631113405045,20.355658943267695,2.291784346386533,0.16828575914472935
TN,2017,6708794,43940,538,3028,7867,32507,198028,38819,140636,18573,961,6.549612344633029,0.08019325082868843,0.45134788756369626,1.1726399707607658,4.845431235479879,29.5176748607872,5.786285880890068,20.962933129262876,2.768455850634257,0.1432448216475271
TN,2018,6771631,42687,508,3011,7222,31946,192897,33538,138710,20649,837,6.303798892763058,0.07501885439416293,0.4446491546866626,1.0665082016430014,4.717622682039231,28.48604715761978,4.952721139117001,20.483986797272326,3.0493392212304538,0.12360389985809918
TN,2019,6830325,40908,515,2943,6164,31286,181801,29969,132540,19292,828,5.989173282384074,0.07539904762950518,0.4308726158711335,0.9024460768704271,4.580455542013008,26.616742248721692,4.387638948366293,19.404640335562362,2.824462964793037,0.12122409987811708
TN,2020,6886834,46328,663,2678,5575,37412,171675,26479,124098,21098,992,6.727038868658661,0.09627065208773727,0.38885792804066427,0.8095156642370065,5.432394624293253,24.92800029737903,3.844872694768017,18.01960087901059,3.0635267236004236,0.14404296662297944
TX,1979,13385000,67988,2235,6043,25667,34043,725109,239758,412515,72836,5358,5.079417258124766,0.16697796040343668,0.4514755323122899,1.9175943220022413,2.5433694434067986,54.17325364213672,17.91243929772133,30.819200597683974,5.441613746731416,0.4002988419872992
TX,1980,14169829,77978,2392,6700,29547,39339,792480,262600,450792,79088,9592,5.503100990138978,0.16880937659868725,0.4728356284327779,2.0852051213885505,2.7762508637189622,55.927280420956386,18.532333735290667,31.813510240666982,5.581436444998737,0.6769312459592843
TX,1981,14755000,78560,2446,6821,28528,40765,814163,275978,454879,83306,8421,5.324296848525924,0.16577431379193494,0.46228397153507284,1.9334462893934259,2.7627922738054895,55.17878685191461,18.704032531345305,30.82880379532362,5.64595052524568,0.5707217892239919
TX,1982,15280000,88178,2466,6816,33618,45278,874799,285967,501727,87105,8194,5.770811518324607,0.1613874345549738,0.44607329842931936,2.200130890052356,2.963219895287958,57.25124345549738,18.71511780104712,32.83553664921466,5.700589005235602,0.5362565445026178
TX,1983,15724000,80546,2239,6333,29769,42205,848312,262198,503582,82532,7531,5.122487916560671,0.14239379292800813,0.4027601119308064,1.8932205545662681,2.684113457135589,53.95013991350801,16.67501907911473,32.02632917832612,5.248791656067159,0.47894937674891885
TX,1984,15989000,80737,2093,7343,28540,42761,883391,266074,529518,87799,8049,5.049534054662581,0.13090249546563262,0.4592532366001626,1.7849771718056164,2.674401150791169,55.24992182125211,16.641065732691224,33.117643379823626,5.491212708737256,0.503408593407968
TX,1985,16370000,90030,2132,8364,31680,47854,985265,289825,595912,99528,8182,5.499694563225412,0.13023824068417839,0.5109346365302383,1.935247403787416,2.9232742822235798,60.18723274282224,17.704642638973734,36.40268784361637,6.0799022602321315,0.4998167379352474
