year,state_abbr,measure_type,violent_crime_1000,property_crime_1000
1995-01-01,NJ,historical,5.9977344241661426,41.039144115796105
1996-01-01,NJ,historical,5.3153480220330485,38.01414621932899
1997-01-01,NJ,historical,4.926487023469513,35.64361107661741
1998-01-01,NJ,historical,4.4017252002464575,32.1392483056069
1999-01-01,NJ,historical,4.1186667210255345,29.880963900635265
2000-01-01,NJ,historical,3.8384426604550566,27.76649414393269
2001-01-01,NJ,historical,3.8883267482196224,28.26315608904872
2002-01-01,NJ,historical,3.7610556517755978,26.554904742158012
2003-01-01,NJ,historical,3.643427320984003,25.49635448992712
2004-01-01,NJ,historical,3.5627413454158505,24.330335194514422
2005-01-01,NJ,historical,3.5526217518944287,23.369814377552963
2006-01-01,NJ,historical,3.501609250208607,22.788541771734053
2007-01-01,NJ,historical,3.2862379575220584,22.14365317663529
2008-01-01,NJ,historical,3.2652432243986027,22.933867854566703
2009-01-01,NJ,historical,3.1136670495061924,20.757627209543145
2010-01-01,NJ,historical,3.074574017230115,20.801189327733677
2011-01-01,NJ,historical,3.0790830732153505,21.474122764670923
2012-01-01,NJ,historical,2.9011872122226285,20.465283805394133
2013-01-01,NJ,historical,2.889299693811436,18.810970361674162
2014-01-01,NJ,historical,2.6087265870172924,17.333896866306205
2015-01-01,NJ,historical,2.560483719793393,16.306002817326682
2016-01-01,NJ,historical,2.434839285682464,15.371531013933867
2017-01-01,NJ,historical,2.318040200739312,15.760288272217393
2018-01-01,NJ,historical,2.0859720741276333,14.084475341899221
2019-01-01,NJ,historical,2.0674239798237766,13.34310622861242
2020-01-01,NJ,historical,1.9536450346422145,11.5819300950163
2021-01-01,NJ,forecast,3.496290445327759,23.72091293334961
1979-01-01,NM,historical,5.859790491539083,52.02497985495568
1980-01-01,NM,historical,6.149872556299857,53.640597958739434
1981-01-01,NM,historical,6.7166541070082895,55.28937452901281
1982-01-01,NM,historical,7.345106696100074,58.73142016188375
1983-01-01,NM,historical,6.867762687634023,56.5939957112223
1984-01-01,NM,historical,6.88061797752809,55.55337078651685
1985-01-01,NM,historical,7.039310344827586,57.82275862068966
1986-01-01,NM,historical,7.255578093306288,59.003380662609864
1987-01-01,NM,historical,6.284666666666666,59.18333333333333
1988-01-01,NM,historical,6.581456953642384,59.481456953642386
1989-01-01,NM,historical,7.0386125654450264,58.69960732984293
1990-01-01,NM,historical,7.802284912436331,59.03889525823576
1991-01-01,NM,historical,8.347545219638242,58.44573643410853
1992-01-01,NM,historical,9.349146110056926,54.991777356103725
1993-01-01,NM,historical,9.297029702970297,53.36386138613862
1994-01-01,NM,historical,8.892382103990329,52.98548972188634
1995-01-01,NM,historical,8.192284866468842,56.08783382789318
1996-01-01,NM,historical,8.405720957384705,57.61704611792178
1997-01-01,NM,historical,8.532947976878612,60.53236994219653
1998-01-01,NM,historical,9.614277489925158,57.5768566493955
1999-01-01,NM,historical,8.345575810245057,51.280459627414864
2000-01-01,NM,historical,7.578697844914313,47.61012090953171
2001-01-01,NM,historical,7.803663155710062,45.383915868122024
2002-01-01,NM,historical,7.407491398692472,43.45307130932093
2003-01-01,NM,historical,6.672657064286407,40.890851619483406
2004-01-01,NM,historical,6.8738616693799175,41.98357756097458
2005-01-01,NM,historical,6.4631863695719325,41.31652115670683
2006-01-01,NM,historical,6.547122964863893,38.882655726315214
2007-01-01,NM,historical,6.7571443437914835,38.157991588469564
2008-01-01,NM,historical,6.534613748742665,38.15746771244676
2009-01-01,NM,historical,6.323920681544392,37.13990996536249
2010-01-01,NM,historical,5.879724848045392,34.25894507658357
2011-01-01,NM,historical,5.726727711993319,35.382652594875395
2012-01-01,NM,historical,5.596244852510631,36.04154467876787
